input,out,weight
30,1412,8
30,3352,3
30,5254,2
30,5543,5
30,7478,6
3,28,4
3,30,6
3,39,3
3,54,10
3,108,7
3,152,4
3,178,7
3,182,6
3,214,1
3,271,2
3,286,1
3,300,6
3,348,1
3,349,6
3,371,2
3,567,10
3,581,2
3,584,7
3,586,5
3,590,6
3,604,4
3,611,4
3,8283,4
25,28,1
25,29,8
25,30,10
25,33,6
25,35,6
25,50,4
25,54,3
25,55,4
25,75,1
25,80,7
25,86,1
25,94,2
25,127,9
25,152,8
25,154,10
25,182,2
25,192,3
25,214,8
25,224,7
25,226,9
25,246,1
25,252,9
25,255,8
25,257,7
25,261,1
25,271,4
25,273,4
25,280,1
25,282,1
25,286,6
25,299,8
25,300,10
25,302,10
25,306,5
25,308,10
25,310,2
25,322,10
25,325,9
25,339,1
25,348,8
25,349,5
25,356,7
25,358,5
25,363,5
25,370,1
25,371,6
25,373,4
25,377,1
25,379,9
25,407,9
25,415,4
25,422,4
25,428,5
25,439,9
25,488,3
25,514,9
25,545,3
25,549,10
25,560,5
25,590,4
25,592,3
25,600,1
25,604,5
25,611,8
25,645,7
25,650,6
25,659,1
25,664,6
25,667,5
25,673,5
25,675,1
25,696,7
25,706,7
25,723,4
25,739,5
25,756,3
25,857,4
25,864,9
25,893,6
25,959,9
25,994,6
25,1131,6
25,3755,10
25,8282,4
25,8284,5
4,8,9
4,10,5
4,28,2
4,30,5
4,38,10
4,55,4
4,56,7
4,75,6
4,130,3
4,140,4
4,147,9
4,151,8
4,152,7
4,214,6
4,232,4
4,243,7
4,282,6
4,299,4
4,341,7
4,363,8
4,370,7
4,415,4
4,560,9
4,606,3
4,611,2
4,645,1
4,650,8
4,659,4
4,8282,8
5,6,10
5,8,2
5,10,10
5,23,9
5,30,8
5,33,4
5,38,9
5,50,10
5,54,3
5,55,8
5,61,2
5,75,3
5,89,10
5,93,5
5,127,9
5,130,7
5,147,6
5,153,2
5,163,6
5,167,5
5,168,3
5,175,1
5,299,4
6,8,2
6,10,3
6,19,9
