input,out,weight
0,1,8
0,2,15
0,3,2
0,4,3
0,5,19
0,6,6
0,7,7
0,8,15
0,9,15
0,10,8
0,11,3
0,12,2
0,13,13
0,14,18
0,15,3
0,16,10
0,17,19
0,18,17
0,19,14
0,20,16
0,21,2
0,22,18
0,23,13
0,24,19
0,25,6
0,26,14
0,27,4
0,28,9
0,29,2
0,30,10
0,31,12
0,32,11
0,33,9
0,34,15
0,35,12
0,36,3
0,37,6
0,38,5
0,39,12
0,40,1
0,41,1
0,42,10
0,43,13
0,44,3
0,45,2
0,46,12
0,47,1
0,48,1
0,49,9
0,50,7
0,51,18
0,52,20
0,53,10
0,54,4
0,55,21
0,56,4
0,57,3
0,58,15
0,59,3
0,60,21
0,61,17
0,62,11
0,63,16
0,64,1
0,65,9
0,66,8
0,67,13
0,68,19
0,69,8
0,70,18
0,71,18
0,72,16
0,73,14
0,74,2
0,75,5
0,76,15
0,77,6
0,78,4
0,79,9
0,80,16
0,81,9
0,82,11
0,83,20
0,84,16
0,85,17
0,86,21
0,87,12
0,88,3
0,89,6
0,90,16
0,91,20
0,92,4
0,93,5
0,94,10
0,95,12
0,96,18
0,97,4
0,98,3
0,99,13
0,100,11
0,101,6
0,102,18
0,103,5
0,104,4
0,105,5
0,106,6
0,107,15
0,108,10
0,109,3
0,110,21
0,111,17
0,112,3
0,113,3
0,114,12
0,115,18
0,116,11
0,117,20
0,118,19
0,119,21
0,120,20
0,121,8
0,122,16
0,123,5
0,124,18
0,125,1
0,126,14
0,127,17
0,128,8
0,129,17
0,130,13
0,131,20
0,132,17
0,133,17
0,134,19
0,135,9
0,136,1
0,137,15
0,138,13
0,139,6
0,140,9
0,141,5
0,142,7
0,143,2
0,144,14
0,145,2
0,146,9
0,147,6
0,148,1
0,149,20
0,150,14
0,151,11
0,152,19
0,153,4
0,154,8
0,155,14
0,156,8
0,157,21
0,158,12
0,159,9
0,160,12
0,161,17
0,162,8
0,163,1
0,164,2
0,165,12
0,166,3
0,167,10
0,168,7
0,169,14
0,170,3
0,171,7
0,172,20
0,173,16
0,174,10
0,175,15
0,176,14
0,177,19
0,178,16
0,179,5
0,180,8
0,181,14
0,182,7
0,183,19
0,184,17
0,185,14
0,186,2
0,187,16
0,188,11
0,189,7
0,190,1
0,191,19
0,192,16
0,193,4
0,194,21
0,195,9
0,196,20
0,197,3
0,198,14
0,199,11
0,200,10
0,201,9
0,202,7
0,203,6
0,204,4
0,205,17
0,206,14
0,207,10
0,208,20
0,209,5
0,210,7
0,211,19
0,212,9
0,213,16
0,214,11
0,215,13
0,216,13
0,217,14
0,218,1
0,219,12
0,220,11
0,221,9
0,222,17
0,223,21
0,224,7
0,225,2
0,226,13
0,227,17
0,228,1
0,229,13
0,230,4
0,231,4
0,232,19
0,233,10
0,234,14
0,235,4
0,236,4
0,237,5
0,238,8
0,239,21
0,240,8
0,241,10
0,242,2
0,243,15
0,244,1
0,245,2
0,246,21
0,247,13
0,248,9
0,249,10
0,250,5
0,251,20
0,252,1
0,253,7
0,254,18
0,255,11
0,256,20
0,257,11
0,258,18
0,259,17
0,260,11
0,261,14
0,262,8
0,263,1
0,264,14
0,265,18
0,266,8
0,267,21
0,268,20
0,269,4
0,270,14
0,271,9
0,272,19
0,273,8
0,274,4
0,275,5
0,276,12
0,277,18
0,278,19
0,279,5
0,280,9
0,281,9
0,282,5
0,283,10
0,284,15
0,285,6
0,286,16
0,287,9
0,288,1
0,289,16
0,290,8
0,291,3
0,292,6
0,293,21
0,294,17
0,295,17
0,296,8
0,297,1
0,298,1
0,299,17
0,300,20
0,301,4
0,302,9
0,303,2
0,304,14
0,305,18
0,306,18
0,307,20
0,308,6
0,309,10
0,310,2
0,311,20
0,312,15
0,313,10
0,314,3
0,315,1
0,316,11
0,317,17
0,318,14
0,319,4
0,320,11
0,321,13
0,322,2
0,323,2
0,324,15
0,325,5
0,326,6
0,327,5
0,328,20
0,329,12
0,330,2
0,331,12
0,332,12
0,333,9
0,334,15
0,335,13
0,336,17
0,337,11
0,338,13
0,339,7
0,340,2
0,341,20
0,342,11
0,343,12
0,344,5
0,345,13
0,346,7
0,347,9
1,48,9
1,53,12
1,54,16
1,73,8
1,88,19
1,92,6
1,119,1
1,126,12
1,133,8
1,194,17
1,236,15
1,280,10
1,299,7
1,315,18
1,322,15
1,346,9
2,20,19
2,115,15
2,116,9
2,149,18
2,226,16
2,312,9
2,326,13
2,333,2
2,343,20
3,9,20
3,25,5
3,26,9
3,67,5
3,72,19
3,85,7
3,122,20
3,142,10
3,170,10
3,188,10
3,200,14
3,228,4
3,274,20
3,280,15
3,283,10
3,323,15
4,78,19
4,152,21
4,181,5
4,195,9
4,218,4
4,273,15
4,275,21
4,306,2
4,328,14
5,87,11
5,122,11
5,156,11
5,158,3
5,169,6
5,180,11
5,187,12
5,204,20
5,213,11
5,235,14
5,315,4
5,316,7
6,89,19
6,95,4
6,147,20
6,219,3
6,319,2
7,22,1
7,31,15
7,38,13
7,65,20
7,87,20
7,103,17
7,129,16
7,136,9
7,168,12
7,213,15
7,246,10
7,291,6
7,304,10
7,308,7
7,315,16
7,322,20
7,339,16
7,340,11
7,347,11
8,91,21
8,110,11
8,193,4
8,201,5
8,245,21
8,259,14
8,264,12
9,21,6
9,25,2
9,26,9
9,30,14
9,56,11
9,66,18
9,67,8
9,69,16
9,72,20
9,75,20
9,79,19
9,85,15
9,105,11
9,113,1
9,119,20
9,122,21
9,128,7
9,133,19
9,134,14
9,141,6
9,142,14
9,148,16
9,156,4
9,161,9
9,169,8
9,170,19
9,176,15
9,185,7
9,186,4
9,188,20
9,199,9
9,200,12
9,203,2
9,224,16
9,231,2
9,232,21
9,252,16
9,258,13
9,271,9
9,272,4
9,276,6
9,277,10
9,280,17
9,285,19
9,291,10
9,295,4
9,297,5
9,304,9
9,315,16
9,322,16
9,323,15
9,329,13
9,334,12
9,341,2
9,342,1
10,67,16
10,142,7
10,169,19
10,200,2
10,277,14
10,285,13
10,291,10
10,323,8
10,332,16
13,21,13
13,26,14
13,56,20
13,59,9
13,65,21
13,67,21
13,82,18
13,98,2
13,109,12
13,118,11
13,119,8
13,148,17
13,172,21
13,188,4
13,199,16
13,211,19
13,223,21
13,236,20
13,238,2
13,239,10
13,252,3
13,261,11
13,265,4
13,271,12
13,277,11
13,304,20
13,313,7
13,325,14
13,332,3
13,342,15
14,20,17
14,28,14
14,41,2
14,115,3
14,116,2
14,144,3
14,149,4
14,151,4
14,214,13
14,226,12
14,310,18
14,312,21
14,326,17
14,343,18
16,29,6
16,82,14
16,118,11
16,172,16
16,261,16
16,329,19
16,331,14
16,332,14
17,19,11
17,41,7
17,111,8
17,115,13
17,116,2
17,137,2
17,140,18
17,144,5
17,214,11
17,310,10
17,312,8
17,326,7
19,41,17
19,89,21
19,112,3
19,115,12
19,138,6
19,174,10
19,175,5
19,214,10
19,227,13
19,289,3
19,293,16
19,312,13
19,319,9
19,343,7
20,41,21
20,44,1
20,111,3
20,115,6
20,149,6
20,162,9
20,214,2
20,226,8
20,312,11
20,326,11
20,333,8
20,343,15
21,25,18
21,26,3
21,31,16
21,39,19
21,40,15
21,55,3
21,56,21
21,66,6
21,67,5
21,88,20
21,98,12
21,104,18
21,105,13
21,108,14
21,109,7
21,119,9
21,121,20
21,122,17
21,123,19
21,127,15
21,134,12
21,136,15
21,142,1
21,159,4
21,161,18
21,165,20
21,169,20
21,170,17
21,184,19
21,186,20
21,188,1
21,197,4
21,200,21
21,203,8
21,212,1
21,223,9
21,232,6
21,235,1
21,236,4
21,239,10
21,248,10
21,251,9
21,252,14
21,271,18
21,272,8
21,274,1
21,277,12
21,280,4
21,281,20
21,284,20
21,297,13
21,304,8
21,308,9
21,313,15
21,315,2
21,322,18
21,323,12
21,325,6
21,332,19
21,334,6
21,342,13
21,345,11
22,87,3
22,158,11
22,168,1
22,185,6
22,277,2
22,308,18
22,324,20
22,339,4
22,347,9
23,51,13
23,61,10
23,83,17
23,99,11
23,116,7
23,124,5
23,144,3
23,155,12
23,175,20
23,190,19
23,227,13
23,230,16
23,237,1
23,240,12
23,245,9
23,267,10
24,53,18
24,57,12
24,80,6
24,92,17
24,94,13
24,101,12
24,180,17
24,187,14
24,194,3
24,242,20
24,249,17
24,266,7
24,299,20
24,302,13
24,346,14
25,26,15
25,31,20
25,39,11
25,40,3
25,51,13
25,56,1
25,65,16
25,67,12
25,69,7
25,72,8
25,73,5
25,76,20
25,79,2
25,83,4
25,84,6
25,88,7
25,94,19
25,98,14
25,103,14
25,104,11
25,105,20
25,113,5
25,119,18
25,122,21
25,130,13
25,141,4
25,148,5
25,158,1
25,169,18
25,170,16
25,176,19
25,185,15
25,186,9
25,188,20
25,199,2
25,200,20
25,203,16
25,221,1
25,224,10
25,231,20
25,232,10
25,236,20
25,237,11
